time,total energy,kinectic,gravitational
0,2822.8,1000,-392.4
0.00896089,2822.49,1000.08,-392.555
0.0145168,2822.37,1000.2,-392.71
0.0200727,2822.25,1000.39,-392.924
0.0256286,2822.13,1000.63,-393.199
0.0311844,2822.02,1000.94,-393.532
0.0367403,2821.9,1001.3,-393.925
0.0422961,2821.78,1001.72,-394.377
0.0478519,2821.66,1002.2,-394.889
0.0534077,2821.54,1002.75,-395.46
0.0589636,2821.42,1003.35,-396.091
0.0645194,2821.3,1004.01,-396.78
0.0700752,2821.18,1004.73,-397.53
0.075631,2821.07,1005.5,-398.339
0.0811868,2820.95,1006.34,-399.207
0.0867427,2820.83,1007.24,-400.134
0.0922985,2820.71,1008.2,-401.121
0.0978543,2820.59,1009.22,-402.168
0.10341,2820.47,1010.29,-403.273
0.108966,2820.35,1011.43,-404.439
0.114522,2820.23,1012.62,-405.663
0.120077,2820.11,1013.88,-406.947
0.125633,2820,1015.19,-408.291
0.131189,2819.88,1016.56,-409.693
0.136745,2819.76,1018,-411.156
0.142301,2819.64,1019.49,-412.677
0.147856,2819.52,1021.04,-414.259
0.153412,2819.4,1022.65,-415.899
0.158968,2819.28,1024.32,-417.599
0.164524,2819.16,1026.05,-419.358
0.170079,2819.05,1027.84,-421.177
0.175635,2818.93,1029.69,-423.055
0.181191,2818.81,1031.59,-424.993
0.186747,2818.69,1033.56,-426.99
0.192303,2818.57,1035.59,-429.046
0.197858,2818.45,1037.67,-431.162
0.203414,2818.33,1039.82,-433.337
0.20897,2818.21,1042.02,-435.571
0.214526,2818.09,1044.29,-437.865
0.220082,2817.98,1046.61,-440.219
0.225637,2817.86,1049,-442.632
0.231193,2817.74,1051.44,-445.104
0.236749,2817.62,1053.94,-447.636
0.242305,2817.5,1056.5,-450.227
0.247861,2817.38,1059.12,-452.877
0.253417,2817.26,1061.8,-455.587
0.258972,2817.14,1064.54,-458.356
0.264528,2817.03,1067.34,-461.185
0.270084,2816.91,1070.2,-464.073
0.27564,2816.79,1073.12,-467.021
0.281195,2816.67,1076.09,-470.028
0.286751,2816.55,1079.13,-473.094
0.292307,2816.43,1082.23,-476.22
0.297863,2816.31,1085.38,-479.405
0.303418,2816.19,1088.6,-482.649
0.308974,2816.07,1091.87,-485.953
0.31453,2815.96,1095.21,-489.317
0.320086,2818.08,1098.6,-492.739
0.325642,2817.96,1102.05,-496.222
0.331197,2817.84,1105.56,-499.763
0.336753,2817.72,1109.13,-503.364
0.342309,2817.6,1112.77,-507.025
0.347865,2817.48,1116.46,-510.744
0.35342,2817.36,1120.2,-514.524
0.358976,2817.24,1124.01,-518.362
0.364532,2817.13,1127.88,-522.26
0.370088,2817.01,1131.81,-526.218
0.375644,2816.89,1135.8,-530.235
0.381199,2816.77,1139.84,-534.311
0.386755,2816.65,1143.95,-538.447
0.392311,2816.53,1148.11,-542.642
0.397867,2816.41,1152.34,-546.896
0.403423,2816.29,1156.62,-551.21
0.408978,2816.18,1160.97,-555.584
0.414534,2816.06,1165.37,-560.016
0.42009,2815.94,1169.83,-564.509
0.425646,2815.82,1174.35,-569.06
0.431204,2815.7,1178.94,-573.673
0.43676,2815.58,1183.58,-578.344
0.442316,2815.46,1188.28,-583.074
